DateTime,Ankara_Sicaklik,Erzurum_Sicaklik,Istanbul_Sicaklik,Izmir_Sicaklik
2025-05-25 00:00:00,16.1,7.5,20.6,21.7
2025-05-25 01:00:00,15.6,6.7,20.0,20.6
2025-05-25 02:00:00,13.3,5.6,18.9,19.4
2025-05-25 03:00:00,13.3,4.4,17.8,20.6
2025-05-25 04:00:00,12.5,3.9,17.8,20.0
2025-05-25 05:00:00,11.7,3.3,17.2,18.9
2025-05-25 06:00:00,13.1,6.7,17.8,18.3
2025-05-25 07:00:00,16.1,11.1,18.3,21.1
2025-05-25 08:00:00,18.9,13.3,18.9,25.0
2025-05-25 09:00:00,23.1,15.6,19.4,28.9
2025-05-25 10:00:00,25.6,17.5,20.0,31.7
2025-05-25 11:00:00,28.3,18.3,20.6,32.5
2025-05-25 12:00:00,29.4,19.4,20.0,31.7
2025-05-25 13:00:00,30.6,20.6,20.0,31.1
2025-05-25 14:00:00,30.6,21.1,18.3,29.6
2025-05-25 15:00:00,30.6,21.7,17.8,28.5
2025-05-25 16:00:00,30.6,21.1,17.8,27.5
2025-05-25 17:00:00,30.0,21.1,17.8,24.6
2025-05-25 18:00:00,27.8,20.0,17.2,22.2
2025-05-25 19:00:00,25.6,16.9,17.2,21.1
2025-05-25 20:00:00,25.0,16.7,17.2,21.7
2025-05-25 21:00:00,23.1,13.9,17.2,20.6
2025-05-25 22:00:00,22.5,11.9,17.2,20.0
2025-05-25 23:00:00,20.6,9.4,17.2,20.0
2025-05-26 00:00:00,20.0,9.4,17.2,20.0
2025-05-26 01:00:00,18.3,7.5,17.5,19.4
2025-05-26 02:00:00,17.8,6.7,18.9,18.3
2025-05-26 03:00:00,18.1,5.6,18.3,17.8
2025-05-26 04:00:00,18.1,3.9,17.5,17.8
2025-05-26 05:00:00,17.5,4.4,17.2,17.2
2025-05-26 06:00:00,17.6,8.6,17.2,17.5
2025-05-26 07:00:00,18.9,14.4,17.2,17.2
2025-05-26 08:00:00,20.6,16.7,17.2,17.5
2025-05-26 09:00:00,21.9,17.5,16.7,18.3
2025-05-26 10:00:00,24.4,18.3,16.1,18.3
2025-05-26 11:00:00,26.7,20.0,17.2,18.9
2025-05-26 12:00:00,27.5,21.7,16.7,19.4
2025-05-26 13:00:00,27.8,22.2,15.6,20.0
2025-05-26 14:00:00,27.8,22.8,15.0,20.6
2025-05-26 15:00:00,21.3,22.8,15.0,21.1
2025-05-26 16:00:00,20.0,22.2,15.0,21.1
2025-05-26 17:00:00,21.7,22.2,15.0,21.1
2025-05-26 18:00:00,22.2,19.4,15.6,19.4
2025-05-26 19:00:00,22.8,19.4,15.0,18.9
2025-05-26 20:00:00,20.6,17.8,15.0,17.8
2025-05-26 21:00:00,20.0,17.2,14.4,17.8
2025-05-26 22:00:00,20.7,14.4,13.9,17.2
2025-05-26 23:00:00,19.4,13.9,13.9,16.7
2025-05-27 00:00:00,18.1,14.4,13.3,16.1
2025-05-27 01:00:00,16.7,14.4,12.8,15.6
2025-05-27 02:00:00,16.1,12.2,12.8,14.4
2025-05-27 03:00:00,15.6,13.9,12.8,13.9
2025-05-27 04:00:00,14.4,12.8,12.8,13.9
2025-05-27 05:00:00,13.9,11.9,13.9,13.3
2025-05-27 06:00:00,13.9,13.9,13.9,13.3
2025-05-27 07:00:00,14.4,16.7,15.6,17.5
2025-05-27 08:00:00,14.4,17.8,16.7,19.4
2025-05-27 09:00:00,15.0,19.4,18.1,21.1
2025-05-27 10:00:00,15.6,20.0,18.9,22.5
2025-05-27 11:00:00,16.7,21.1,18.9,23.3
2025-05-27 12:00:00,18.1,22.5,20.0,23.9
2025-05-27 13:00:00,19.4,21.9,19.4,24.4
2025-05-27 14:00:00,20.0,20.6,21.1,24.4
2025-05-27 15:00:00,21.1,22.5,20.6,25.0
2025-05-27 16:00:00,22.2,21.1,20.0,25.0
2025-05-27 17:00:00,21.1,19.3,21.1,24.4
2025-05-27 18:00:00,20.6,18.3,20.0,23.3
2025-05-27 19:00:00,18.1,16.7,19.4,22.2
2025-05-27 20:00:00,15.6,15.6,18.9,20.6
2025-05-27 21:00:00,13.3,15.0,18.9,18.9
2025-05-27 22:00:00,12.5,14.3,18.9,18.3
2025-05-27 23:00:00,11.1,13.5,17.6,18.9
2025-05-28 00:00:00,10.6,12.8,17.2,17.8
2025-05-28 01:00:00,10.0,12.5,16.1,17.8
2025-05-28 02:00:00,8.3,12.5,16.1,16.1
2025-05-28 03:00:00,8.3,12.2,15.0,16.1
2025-05-28 04:00:00,6.1,12.2,15.6,16.1
2025-05-28 05:00:00,6.9,12.2,15.6,16.7
2025-05-28 06:00:00,7.5,12.8,16.7,16.7
2025-05-28 07:00:00,10.0,13.9,17.5,18.3
2025-05-28 08:00:00,13.1,15.6,17.8,20.6
2025-05-28 09:00:00,16.1,16.7,19.4,22.5
2025-05-28 10:00:00,16.9,17.5,20.0,24.4
2025-05-28 11:00:00,18.3,18.3,21.1,26.1
2025-05-28 12:00:00,18.9,20.6,21.1,27.2
2025-05-28 13:00:00,19.4,23.1,22.2,27.5
2025-05-28 14:00:00,21.7,23.9,22.2,27.8
2025-05-28 15:00:00,21.1,23.3,22.8,27.5
2025-05-28 16:00:00,22.2,22.2,22.2,27.2
2025-05-28 17:00:00,22.2,21.9,22.8,26.7
2025-05-28 18:00:00,21.7,20.0,21.7,23.9
2025-05-28 19:00:00,20.6,17.2,20.6,23.3
2025-05-28 20:00:00,18.9,16.7,19.4,21.7
2025-05-28 21:00:00,17.5,14.4,18.9,19.4
2025-05-28 22:00:00,16.7,12.5,18.9,18.9
2025-05-28 23:00:00,15.0,11.1,18.3,17.8
2025-05-29 00:00:00,12.8,10.0,18.3,17.5
2025-05-29 01:00:00,11.7,10.0,17.5,16.7
2025-05-29 02:00:00,11.1,10.0,17.2,15.0
2025-05-29 03:00:00,10.6,8.1,17.2,14.4
2025-05-29 04:00:00,8.9,7.2,16.7,15.0
2025-05-29 05:00:00,9.4,8.6,16.1,13.9
2025-05-29 06:00:00,10.6,12.5,16.9,13.3
2025-05-29 07:00:00,13.3,13.9,18.9,16.1
2025-05-29 08:00:00,16.7,15.6,21.7,20.6
2025-05-29 09:00:00,18.6,16.7,20.0,21.7
2025-05-29 10:00:00,20.0,18.3,20.0,22.8
2025-05-29 11:00:00,20.7,21.1,21.1,24.4
2025-05-29 12:00:00,20.0,22.2,22.2,25.6
2025-05-29 13:00:00,16.7,22.5,22.8,26.7
2025-05-29 14:00:00,15.0,22.2,22.2,27.2
2025-05-29 15:00:00,15.0,21.1,22.5,26.1
2025-05-29 16:00:00,15.0,21.7,23.1,26.1
2025-05-29 17:00:00,16.1,21.1,23.9,25.4
2025-05-29 18:00:00,16.7,19.4,22.8,26.1
2025-05-29 19:00:00,16.7,16.4,21.7,24.4
2025-05-29 20:00:00,16.1,14.4,20.6,22.5
2025-05-29 21:00:00,15.6,12.5,20.0,21.7
2025-05-29 22:00:00,14.4,11.7,19.4,20.6
2025-05-29 23:00:00,12.8,10.0,19.4,19.4
2025-05-30 00:00:00,11.1,11.1,18.9,17.8
2025-05-30 01:00:00,10.0,10.6,18.3,17.8
2025-05-30 02:00:00,9.4,11.1,17.5,17.2
2025-05-30 03:00:00,10.0,9.3,16.7,17.5
2025-05-30 04:00:00,9.4,8.9,16.1,16.7
2025-05-30 05:00:00,10.0,7.8,16.7,16.1
2025-05-30 06:00:00,10.6,10.0,17.2,16.1
2025-05-30 07:00:00,12.5,13.1,18.9,17.8
2025-05-30 08:00:00,14.4,14.4,20.0,21.1
2025-05-30 09:00:00,15.6,16.1,22.2,22.8
2025-05-30 10:00:00,17.5,17.8,22.8,24.4
2025-05-30 11:00:00,17.8,17.8,22.8,26.1
2025-05-30 12:00:00,17.8,17.0,22.8,25.4
2025-05-30 13:00:00,16.7,18.3,22.8,23.0
2025-05-30 14:00:00,15.0,17.5,22.5,23.7
2025-05-30 15:00:00,15.6,19.4,22.8,22.0
2025-05-30 16:00:00,17.2,18.3,22.2,22.2
2025-05-30 17:00:00,14.4,17.2,22.2,20.6
2025-05-30 18:00:00,14.4,16.1,20.6,16.9
2025-05-30 19:00:00,13.9,14.4,19.4,16.5
2025-05-30 20:00:00,13.9,12.5,18.9,17.2
2025-05-30 21:00:00,12.8,8.9,17.8,17.5
2025-05-30 22:00:00,12.8,7.5,17.8,17.2
2025-05-30 23:00:00,12.8,7.5,17.8,16.1
2025-05-31 00:00:00,12.8,5.6,17.8,16.7
2025-05-31 01:00:00,12.8,4.4,17.2,17.2
2025-05-31 02:00:00,12.5,5.0,17.2,16.5
2025-05-31 03:00:00,12.8,3.3,17.2,16.1
2025-05-31 04:00:00,12.5,3.9,17.2,16.1
2025-05-31 05:00:00,12.2,3.9,17.2,17.2
2025-05-31 06:00:00,12.2,7.8,17.5,16.1
2025-05-31 07:00:00,12.8,13.1,18.3,17.2
2025-05-31 08:00:00,15.0,14.4,18.9,18.3
2025-05-31 09:00:00,15.6,17.2,19.4,19.4
2025-05-31 10:00:00,17.2,17.2,21.1,21.1
2025-05-31 11:00:00,17.8,17.8,21.7,22.2
2025-05-31 12:00:00,19.4,18.3,22.5,23.3
2025-05-31 13:00:00,18.3,20.0,22.2,23.9
2025-05-31 14:00:00,17.8,20.0,22.2,23.9
2025-05-31 15:00:00,19.4,20.6,21.1,21.1
2025-05-31 16:00:00,20.6,18.9,21.7,22.8
2025-05-31 17:00:00,17.4,17.8,21.1,23.9
2025-05-31 18:00:00,14.4,18.1,20.0,23.3
2025-05-31 19:00:00,15.0,15.0,19.4,20.6
2025-05-31 20:00:00,13.9,14.4,18.3,19.6
2025-05-31 21:00:00,12.8,12.2,17.8,19.4
2025-05-31 22:00:00,12.8,10.0,17.2,18.9
2025-05-31 23:00:00,13.2,7.5,17.2,18.1
2025-06-01 00:00:00,12.2,5.6,17.2,18.3
2025-06-01 01:00:00,12.2,5.0,16.7,18.3
2025-06-01 02:00:00,12.2,5.0,16.1,17.8
2025-06-01 03:00:00,10.0,5.0,16.1,17.5
2025-06-01 04:00:00,10.0,3.9,16.1,16.7
2025-06-01 05:00:00,10.6,4.4,16.1,16.7
2025-06-01 06:00:00,11.6,8.1,16.7,17.2
2025-06-01 07:00:00,11.5,13.1,18.3,18.1
2025-06-01 08:00:00,13.9,16.7,18.3,19.4
2025-06-01 09:00:00,16.7,18.3,18.9,20.6
2025-06-01 10:00:00,17.8,20.6,18.9,21.7
2025-06-01 11:00:00,18.9,21.7,20.0,23.3
2025-06-01 12:00:00,18.5,22.5,20.0,25.0
2025-06-01 13:00:00,18.9,24.4,22.2,25.6
2025-06-01 14:00:00,16.9,25.0,24.4,25.6
2025-06-01 15:00:00,16.1,25.0,24.4,27.2
2025-06-01 16:00:00,17.8,23.9,24.4,27.2
2025-06-01 17:00:00,17.8,23.3,23.9,26.7
2025-06-01 18:00:00,17.5,21.7,22.8,26.7
2025-06-01 19:00:00,16.7,20.0,22.5,25.6
2025-06-01 20:00:00,15.0,16.4,20.6,23.3
2025-06-01 21:00:00,13.9,12.8,20.0,22.5
2025-06-01 22:00:00,12.8,11.7,19.4,21.7
2025-06-01 23:00:00,13.3,12.5,17.8,20.6
2025-06-02 00:00:00,13.9,10.0,17.8,20.0
2025-06-02 01:00:00,12.5,6.7,17.2,18.9
2025-06-02 02:00:00,12.4,8.3,17.2,18.9
2025-06-02 03:00:00,11.7,6.7,16.7,18.3
2025-06-02 04:00:00,11.7,5.6,16.1,18.9
2025-06-02 05:00:00,12.2,6.1,16.1,17.8
2025-06-02 06:00:00,12.2,9.2,16.7,17.5
2025-06-02 07:00:00,12.5,13.6,18.3,20.6
2025-06-02 08:00:00,12.8,17.2,18.9,22.5
2025-06-02 09:00:00,15.0,19.4,18.9,23.3
2025-06-02 10:00:00,17.2,20.6,20.0,25.0
2025-06-02 11:00:00,17.5,20.6,20.6,26.7
2025-06-02 12:00:00,18.5,21.7,20.6,26.7
2025-06-02 13:00:00,19.4,22.2,21.1,27.5
2025-06-02 14:00:00,20.0,22.2,21.7,27.8
2025-06-02 15:00:00,19.1,22.4,21.7,27.8
2025-06-02 16:00:00,18.1,21.1,22.2,27.8
2025-06-02 17:00:00,15.6,18.9,22.2,27.5
2025-06-02 18:00:00,15.0,17.5,22.2,26.7
2025-06-02 19:00:00,15.0,14.8,21.1,25.6
2025-06-02 20:00:00,13.9,11.1,20.0,24.4
2025-06-02 21:00:00,13.9,10.0,21.1,23.3
2025-06-02 22:00:00,13.9,11.1,20.0,20.6
2025-06-02 23:00:00,12.5,10.6,19.4,19.4
2025-06-03 00:00:00,12.2,8.1,19.4,19.4
2025-06-03 01:00:00,11.1,7.8,18.9,20.0
2025-06-03 02:00:00,9.4,6.7,17.8,17.5
2025-06-03 03:00:00,8.9,6.7,17.5,18.9
2025-06-03 04:00:00,8.9,7.5,17.2,18.1
2025-06-03 05:00:00,8.3,7.8,17.2,17.8
2025-06-03 06:00:00,10.6,8.3,16.9,17.8
2025-06-03 07:00:00,11.9,11.7,19.4,20.6
2025-06-03 08:00:00,13.9,13.3,20.6,22.5
2025-06-03 09:00:00,17.5,13.9,20.6,24.4
2025-06-03 10:00:00,19.4,15.0,21.7,26.1
2025-06-03 11:00:00,20.6,13.3,21.7,27.5
2025-06-03 12:00:00,21.7,15.4,22.5,27.8
2025-06-03 13:00:00,22.2,16.5,23.9,29.4
2025-06-03 14:00:00,22.5,14.3,23.9,30.0
2025-06-03 15:00:00,22.2,10.6,25.0,31.1
2025-06-03 16:00:00,22.8,10.6,26.7,30.6
2025-06-03 17:00:00,22.8,11.7,27.2,29.4
2025-06-03 18:00:00,22.8,11.5,26.1,28.9
2025-06-03 19:00:00,21.7,10.7,25.6,28.3
2025-06-03 20:00:00,18.9,10.0,23.3,26.1
2025-06-03 21:00:00,17.2,11.1,23.3,25.0
2025-06-03 22:00:00,17.2,10.6,22.8,23.3
2025-06-03 23:00:00,15.6,10.6,22.2,22.2
2025-06-04 00:00:00,14.4,10.6,22.2,21.1
2025-06-04 01:00:00,13.3,9.4,21.1,19.4
2025-06-04 02:00:00,12.8,8.9,20.6,18.1
2025-06-04 03:00:00,12.2,8.9,18.9,16.7
2025-06-04 04:00:00,11.1,8.9,18.3,16.1
2025-06-04 05:00:00,10.6,8.9,18.3,15.0
2025-06-04 06:00:00,11.9,8.9,19.4,15.6
2025-06-04 07:00:00,13.3,9.4,21.1,18.9
2025-06-04 08:00:00,16.7,12.5,22.2,23.3
2025-06-04 09:00:00,18.3,13.9,22.2,25.6
2025-06-04 10:00:00,20.6,13.9,22.5,27.8
2025-06-04 11:00:00,21.7,14.6,23.3,29.4
2025-06-04 12:00:00,22.8,16.1,23.9,31.1
2025-06-04 13:00:00,23.3,16.7,25.0,32.5
2025-06-04 14:00:00,23.9,15.6,25.0,32.5
2025-06-04 15:00:00,25.0,16.9,26.7,33.3
2025-06-04 16:00:00,26.1,16.1,27.2,33.3
2025-06-04 17:00:00,26.1,15.4,27.8,32.8
2025-06-04 18:00:00,25.0,12.8,26.1,31.7
2025-06-04 19:00:00,23.3,11.9,27.2,30.6
2025-06-04 20:00:00,20.6,10.6,26.7,28.3
