DateTime,Tuketim_MWh,Ankara_Sicaklik,Erzurum_Sicaklik,Istanbul_Sicaklik,Izmir_Sicaklik,Weighted_Avg_Temp,Saat,Ay,Yil,Haftanin_Gunu,Hafta_Sonu,Mesai_Saati,Lag_Tuketim_24h
2024-07-27 00:00:00,43142.1,17.2,17.0,23.9,26.1,21.63,0,7,2024,5,1,0,44202.92
2024-07-27 01:00:00,41678.41,17.5,15.0,23.9,25.6,21.3,1,7,2024,5,1,0,42256.87
2024-07-27 02:00:00,40033.83,17.2,15.6,22.8,25.0,20.76,2,7,2024,5,1,0,39414.31
2024-07-27 03:00:00,38992.53,17.2,13.9,22.8,25.0,20.51,3,7,2024,5,1,0,39667.02
2024-07-27 04:00:00,38270.08,17.2,13.5,22.8,25.0,20.44,4,7,2024,5,1,0,38970.94
2024-07-27 05:00:00,37224.3,17.5,13.9,22.8,25.0,20.58,5,7,2024,5,1,0,37970.66
2024-07-27 06:00:00,36229.63,17.2,13.9,23.9,25.0,20.94,6,7,2024,5,1,0,37187.63
2024-07-27 07:00:00,37021.51,18.3,15.6,20.7,26.1,20.42,7,7,2024,5,1,0,39364.93
2024-07-27 08:00:00,41045.51,20.0,16.7,23.1,27.2,22.18,8,7,2024,5,1,1,45128.1
2024-07-27 09:00:00,43967.19,20.6,17.8,25.6,28.9,23.84,9,7,2024,5,1,1,48729.22
2024-07-27 10:00:00,46192.48,21.7,20.0,26.7,30.0,25.1,10,7,2024,5,1,1,50387.08
2024-07-27 11:00:00,47385.78,23.3,22.2,27.8,31.1,26.49,11,7,2024,5,1,1,51575.76
2024-07-27 12:00:00,46820.31,25.0,22.5,28.9,32.2,27.63,12,7,2024,5,1,1,49736.32
2024-07-27 13:00:00,47612.38,25.6,23.3,28.9,32.6,27.98,13,7,2024,5,1,1,49857.98
2024-07-27 14:00:00,47981.53,26.1,24.4,29.4,33.5,28.64,14,7,2024,5,1,1,52365.05
2024-07-27 15:00:00,47522.7,26.1,24.4,28.9,33.3,28.4,15,7,2024,5,1,1,52017.46
2024-07-27 16:00:00,47212.04,26.1,23.9,28.3,33.9,28.21,16,7,2024,5,1,1,51976.13
2024-07-27 17:00:00,46925.85,25.6,20.9,28.3,33.9,27.64,17,7,2024,5,1,1,50473.29
2024-07-27 18:00:00,46621.77,24.4,18.5,27.8,32.8,26.55,18,7,2024,5,1,1,48434.8
2024-07-27 19:00:00,46466.38,22.5,17.5,26.7,31.7,25.27,19,7,2024,5,1,0,48137.34
2024-07-27 20:00:00,47465.08,21.1,16.7,25.0,30.6,23.9,20,7,2024,5,1,0,49260.06
2024-07-27 21:00:00,47161.72,20.0,16.1,25.0,29.6,23.34,21,7,2024,5,1,0,49053.61
2024-07-27 22:00:00,45416.48,19.4,15.6,25.0,29.2,23.03,22,7,2024,5,1,0,47432.23
2024-07-27 23:00:00,43539.48,18.3,15.8,23.9,27.8,22.06,23,7,2024,5,1,0,45480.86
2024-07-28 00:00:00,41394.38,17.8,13.9,23.9,27.5,21.6,0,7,2024,6,1,0,43142.1
2024-07-28 01:00:00,39629.35,17.8,13.5,23.9,26.7,21.38,1,7,2024,6,1,0,41678.41
2024-07-28 02:00:00,38147.34,18.3,12.8,22.8,26.1,20.84,2,7,2024,6,1,0,40033.83
2024-07-28 03:00:00,36962.33,17.5,12.2,22.8,24.4,20.2,3,7,2024,6,1,0,38992.53
2024-07-28 04:00:00,36108.03,17.5,11.7,22.8,24.4,20.13,4,7,2024,6,1,0,38270.08
2024-07-28 05:00:00,34923.18,16.7,12.2,22.8,23.9,19.9,5,7,2024,6,1,0,37224.3
2024-07-28 06:00:00,33797.46,16.9,13.1,23.9,24.4,20.63,6,7,2024,6,1,0,36229.63
2024-07-28 07:00:00,34152.68,19.4,15.6,25.6,25.6,22.55,7,7,2024,6,1,0,37021.51
2024-07-28 08:00:00,35566.24,21.7,17.2,26.7,27.5,24.18,8,7,2024,6,1,1,41045.51
2024-07-28 09:00:00,37429.63,23.3,17.5,27.5,28.9,25.23,9,7,2024,6,1,1,43967.19
2024-07-28 10:00:00,39598.51,24.4,19.4,28.9,31.7,26.91,10,7,2024,6,1,1,46192.48
2024-07-28 11:00:00,40971.02,26.1,19.4,30.4,33.3,28.26,11,7,2024,6,1,1,47385.78
2024-07-28 12:00:00,41567.43,27.5,21.1,31.7,34.4,29.6,12,7,2024,6,1,1,46820.31
2024-07-28 13:00:00,42190.39,27.8,22.2,31.7,35.6,30.08,13,7,2024,6,1,1,47612.38
2024-07-28 14:00:00,42828.08,29.4,22.2,32.2,36.7,30.9,14,7,2024,6,1,1,47981.53
2024-07-28 15:00:00,42976.61,29.4,21.7,32.2,37.2,30.93,15,7,2024,6,1,1,47522.7
2024-07-28 16:00:00,43013.78,30.0,21.1,31.1,36.7,30.44,16,7,2024,6,1,1,47212.04
2024-07-28 17:00:00,43285.33,30.0,22.5,31.1,35.6,30.44,17,7,2024,6,1,1,46925.85
2024-07-28 18:00:00,43517.87,29.4,20.6,30.0,35.0,29.44,18,7,2024,6,1,1,46621.77
2024-07-28 19:00:00,43880.91,28.3,18.3,28.3,33.9,27.92,19,7,2024,6,1,0,46466.38
2024-07-28 20:00:00,45232.28,26.7,17.5,27.5,32.5,26.8,20,7,2024,6,1,0,47465.08
2024-07-28 21:00:00,45213.42,24.4,16.1,27.2,32.2,25.84,21,7,2024,6,1,0,47161.72
2024-07-28 22:00:00,44340.37,23.9,14.4,26.1,31.7,24.92,22,7,2024,6,1,0,45416.48
2024-07-28 23:00:00,42600.53,22.2,13.9,26.1,31.1,24.3,23,7,2024,6,1,0,43539.48
2024-07-29 00:00:00,41007.61,20.6,14.4,26.1,30.6,23.87,0,7,2024,0,0,0,41394.38
2024-07-29 01:00:00,39227.38,18.9,12.5,25.6,29.4,22.72,1,7,2024,0,0,0,39629.35
2024-07-29 02:00:00,37588.43,17.5,10.6,26.1,28.9,22.18,2,7,2024,0,0,0,38147.34
2024-07-29 03:00:00,36448.43,16.7,9.4,25.6,27.8,21.38,3,7,2024,0,0,0,36962.33
2024-07-29 04:00:00,35875.29,16.1,9.4,25.0,27.5,20.94,4,7,2024,0,0,0,36108.03
2024-07-29 05:00:00,35146.91,14.4,8.3,24.4,26.7,19.94,5,7,2024,0,0,0,34923.18
2024-07-29 06:00:00,34354.58,15.6,12.5,25.0,27.2,21.22,6,7,2024,0,0,0,33797.46
2024-07-29 07:00:00,37362.99,18.1,15.6,26.7,27.8,23.1,7,7,2024,0,0,0,34152.68
2024-07-29 08:00:00,43929.2,21.7,16.9,28.3,29.4,25.16,8,7,2024,0,0,1,35566.24
2024-07-29 09:00:00,48131.26,22.5,18.9,30.6,31.7,27.04,9,7,2024,0,0,1,37429.63
2024-07-29 10:00:00,49981.92,23.9,20.0,31.7,33.3,28.32,10,7,2024,0,0,1,39598.51
2024-07-29 11:00:00,51194.94,25.6,20.6,32.8,34.4,29.49,11,7,2024,0,0,1,40971.02
2024-07-29 12:00:00,50803.31,26.7,21.1,32.8,35.6,30.08,12,7,2024,0,0,1,41567.43
2024-07-29 13:00:00,52417.02,27.5,22.2,33.3,36.7,30.86,13,7,2024,0,0,1,42190.39
2024-07-29 14:00:00,53941.04,28.3,22.5,32.8,37.2,31.01,14,7,2024,0,0,1,42828.08
2024-07-29 15:00:00,53916.03,28.9,22.8,33.3,37.2,31.4,15,7,2024,0,0,1,42976.61
2024-07-29 16:00:00,52893.84,30.0,22.8,32.5,36.1,31.14,16,7,2024,0,0,1,43013.78
2024-07-29 17:00:00,52658.51,30.0,22.2,32.2,36.1,30.93,17,7,2024,0,0,1,43285.33
2024-07-29 18:00:00,50982.17,29.4,21.7,31.1,35.7,30.18,18,7,2024,0,0,1,43517.87
2024-07-29 19:00:00,50215.86,28.3,18.3,29.4,34.4,28.46,19,7,2024,0,0,0,43880.91
2024-07-29 20:00:00,51162.5,26.7,16.7,28.3,32.8,27.06,20,7,2024,0,0,0,45232.28
2024-07-29 21:00:00,50540.01,23.1,16.1,27.2,32.2,25.51,21,7,2024,0,0,0,45213.42
2024-07-29 22:00:00,48836.46,21.7,15.6,26.7,31.7,24.78,22,7,2024,0,0,0,44340.37
2024-07-29 23:00:00,46789.43,20.6,15.6,26.1,29.4,23.81,23,7,2024,0,0,0,42600.53
2024-07-30 00:00:00,44351.75,20.6,15.6,26.1,30.0,23.93,0,7,2024,1,0,0,41007.61
